orgao,unidade,data,empenho,processo,credor,cpf_cnpj,pago,retido,anulacao,acao,funcao,subfuncao,programa,categoria_economica,natureza_despesa,modalidade_aplicacao,elemento,subelemento,fonte_de_recurso,conta_banco,tipo,no_doc,data_atesto,responsavel_atesto,historico_empenho,historico_pagamento
13 - SECRETARIA MUNICIPAL DA FAZENDA,13101 - SECRETARIA MUNICIPAL DA FAZENDA,31/12/2015,328,1112,BANCO DO BRASIL SA,00.000.000/5103-94,"R$ 29,20","R$ 0,00","R$ 0,00",2040 - Manutenção e Coordenação Geral - SEMFAZ,04 - Administração,122 - Administração Geral,0012 - APOIO ÀS POLITICAS PÚBLICAS MUNICIPAIS,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903964 - Serviços Bancários,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 001 / Ag: 3611 / CC: 624314,Autorização de Débito,605,,,VALOR PARA COBRIR DESPESAS REFERENTE PRESTAÇÃO DE SERVIÇOS DE TARIFAS BANCÁRIAS.,"VALOR PARA COBRIR DESPESAS REFERENTE PRESTAÇÃO DE SERVIÇOS DE TARIFAS BANCÁRIAS, RELATIVO AO MES DE DEZEMBRO/2015."
35 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS,35301 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS - EMSURB,22/12/2015,851,2012,BTS TERCEIRIZACAO DE SERVICOS LTDA,03.769.500/0001-80,"R$ 47.550,03","R$ 0,00","R$ 0,00",2149 - Limpeza Urbana / Gestão de Resíduos Sólidos,18 - Gestão Ambiental,452 - Serviços Urbanos,0140 - GESTÃO AMBIENTAL,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903961 - Limpeza e Conservação,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 000027487,Autorização de Débito,2330,,,"ESTIMATIVA REF AO CONTRATO Nº010/2013- BTS TERCEIRIZAÇÃO SERVIÇOS LTDA, REF AO 5º ADITIVO, COM OBJETO A PRESTAÇÃO DE SERVIÇOS DE LIMPEZA E CONSERVAÇÃO.","ESTIMATIVA REF AO CONTRATO Nº010/2013- BTS TERCEIRIZAÇÃO SERVIÇOS LTDA, REF AO 5º ADITIVO, COM OBJETO A PRESTAÇÃO DE SERVIÇOS DE LIMPEZA E CONSERVAÇÃO."
35 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS,35301 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS - EMSURB,22/12/2015,114,2013,TORRE EMPREENDIMENTO RURAL E CONSTRUCAO LTDA.,34.405.597/0002-57,"R$ 436.449,97","R$ 0,00","R$ 0,00",2149 - Limpeza Urbana / Gestão de Resíduos Sólidos,18 - Gestão Ambiental,452 - Serviços Urbanos,0140 - GESTÃO AMBIENTAL,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903961 - Limpeza e Conservação,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 000027487,Autorização de Débito,2332,,,ESTIMATIVA REFERENTE A LIMPEZA NA CIDADE DE ARACAJU - TORRE EMPREENDIMENTOS - CONTRATO 012/2010,ESTIMATIVA REFERENTE A LIMPEZA NA CIDADE DE ARACAJU - TORRE EMPREENDIMENTOS - CONTRATO 012/2010 - NF 3902 - PERIODO AGOSTO/2015.
35 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS,35301 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS - EMSURB,21/12/2015,850,2002,BTS TERCEIRIZACAO DE SERVICOS LTDA,03.769.500/0001-80,"R$ 540.341,22","R$ 152.646,40","R$ 0,00",2149 - Limpeza Urbana / Gestão de Resíduos Sólidos,18 - Gestão Ambiental,452 - Serviços Urbanos,0140 - GESTÃO AMBIENTAL,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903961 - Limpeza e Conservação,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 000027487,Autorização de Débito,2327,,,ESTIMATIVA REF AO CONTRATO Nº034/2015- BTS TERCEIRIZAÇÃO SERVIÇOS LTDA.,ESTIMATIVA REF AO CONTRATO Nº034/2015- BTS TERCEIRIZAÇÃO SERVIÇOS LTDA.
35 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS,35301 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS - EMSURB,21/12/2015,845,2005,BTS TERCEIRIZACAO DE SERVICOS LTDA,03.769.500/0001-80,"R$ 100.797,63","R$ 38.543,67","R$ 0,00",2149 - Limpeza Urbana / Gestão de Resíduos Sólidos,18 - Gestão Ambiental,452 - Serviços Urbanos,0140 - GESTÃO AMBIENTAL,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903961 - Limpeza e Conservação,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 000027487,Autorização de Débito,2314,,,ESTIMATIVA REF. AO CONTRATO Nº028/2015- AOS SERVIÇOS PRESTADOS DE SERVIÇOS DE PODAÇÃO CORTE E EXTRAÇÃO DE ESPECIIES ARBOREAS.,ESTIMATIVA REF. AO CONTRATO Nº028/2015- AOS SERVIÇOS PRESTADOS DE SERVIÇOS DE PODAÇÃO CORTE E EXTRAÇÃO DE ESPECIIES ARBOREAS.
35 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS,35301 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS - EMSURB,21/12/2015,52,2003,INSS-INSTITUTO NACIONAL DO SEGURO SOCIAL,29.979.036/0416-88,"R$ 156,91","R$ 0,00","R$ 0,00",2149 - Limpeza Urbana / Gestão de Resíduos Sólidos,18 - Gestão Ambiental,452 - Serviços Urbanos,0140 - GESTÃO AMBIENTAL,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903921 - Multas Dedutíveis,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 000027487,Autorização de Débito,2328,,,ESTIMATICA REFERENTE A MULTA NA RETENÇÃO DO INSS - FORNECEDORES - FONTE 20,ESTIMATICA REFERENTE A MULTA NA RETENÇÃO DO INSS - FORNECEDORES - FONTE 20
35 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS,35301 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS - EMSURB,21/12/2015,114,2001,TORRE EMPREENDIMENTO RURAL E CONSTRUCAO LTDA.,34.405.597/0002-57,"R$ 1.000.000,00","R$ 0,00","R$ 0,00",2149 - Limpeza Urbana / Gestão de Resíduos Sólidos,18 - Gestão Ambiental,452 - Serviços Urbanos,0140 - GESTÃO AMBIENTAL,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903961 - Limpeza e Conservação,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 000027487,Autorização de Débito,2326,,,ESTIMATIVA REFERENTE A LIMPEZA NA CIDADE DE ARACAJU - TORRE EMPREENDIMENTOS - CONTRATO 012/2010,ESTIMATIVA REFERENTE A LIMPEZA NA CIDADE DE ARACAJU - TORRE EMPREENDIMENTOS - CONTRATO 012/2010 - NF 3902 - PERIODO AGOSTO/2015.
35 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS,35301 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS - EMSURB,18/12/2015,845,1997,BTS TERCEIRIZACAO DE SERVICOS LTDA,03.769.500/0001-80,"R$ 137.746,04","R$ 38.913,25","R$ 0,00",2149 - Limpeza Urbana / Gestão de Resíduos Sólidos,18 - Gestão Ambiental,452 - Serviços Urbanos,0140 - GESTÃO AMBIENTAL,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903961 - Limpeza e Conservação,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 000027487,Autorização de Débito,2316,,,ESTIMATIVA REF. AO CONTRATO Nº028/2015- AOS SERVIÇOS PRESTADOS DE SERVIÇOS DE PODAÇÃO CORTE E EXTRAÇÃO DE ESPECIIES ARBOREAS.,ESTIMATIVA REF. AO CONTRATO Nº028/2015- AOS SERVIÇOS PRESTADOS DE SERVIÇOS DE PODAÇÃO CORTE E EXTRAÇÃO DE ESPECIIES ARBOREAS.
35 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS,35301 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS - EMSURB,18/12/2015,52,1995,INSS-INSTITUTO NACIONAL DO SEGURO SOCIAL,29.979.036/0416-88,"R$ 2.609,78","R$ 0,00","R$ 0,00",2149 - Limpeza Urbana / Gestão de Resíduos Sólidos,18 - Gestão Ambiental,452 - Serviços Urbanos,0140 - GESTÃO AMBIENTAL,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903921 - Multas Dedutíveis,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 000027487,Autorização de Débito,2318,,,ESTIMATICA REFERENTE A MULTA NA RETENÇÃO DO INSS - FORNECEDORES - FONTE 20,ESTIMATICA REFERENTE A MULTA NA RETENÇÃO DO INSS - FORNECEDORES - FONTE 20
35 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS,35301 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS - EMSURB,18/12/2015,51,1996,DELEGACIA DA RECEITA FEDERAL DO BRASIL EM ARACAJU,00.394.460/0092-89,"R$ 1.423,51","R$ 0,00","R$ 0,00",2149 - Limpeza Urbana / Gestão de Resíduos Sólidos,18 - Gestão Ambiental,452 - Serviços Urbanos,0140 - GESTÃO AMBIENTAL,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903921 - Multas Dedutíveis,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 000027487,Autorização de Débito,2318,,,ESTIMATIVA REFERENTE A MULTA NA RETENÇÃO DO IRRF - FORNECEDORES - EMSURB - FONTE 20,ESTIMATIVA REFERENTE A MULTA NA RETENÇÃO DO IRRF - FORNECEDORES - EMSURB - FONTE 20
