orgao,unidade,data,empenho,processo,credor,cpf_cnpj,pago,retido,anulacao,acao,funcao,subfuncao,programa,categoria_economica,natureza_despesa,modalidade_aplicacao,elemento,subelemento,fonte_de_recurso,conta_banco,tipo,no_doc,data_atesto,responsavel_atesto,historico_empenho,historico_pagamento
27 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA,27101 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA - SEMINFRA,29/01/2016,81,13,EMPRESA MUNICIPAL DE OBRAS E URBANIZAÇÃO - EMURB,13.118.245/0001-60,"R$ 84.271,92","R$ 0,00","R$ 0,00","1025 - Construção/Recuperação de Ruas, Pontes, Viadutos, Avenidas e Praças",15 - Urbanismo,451 - Infraestrutura Urbana,0135 - GESTÃO URBANA,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903918 - Manutenção e Conservação de Estradas e Vias,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 4856,Autorização de Débito,40,,,"VALOR REFERE-SE: EXECUÇÃO DE DRENAGEM, PAVIMENTAÇÃO ASFÁLTICA E TAPA BURACO EM DIVERSAS ARTÉRIAS DE ARACAJU (CONVÊNIO N° 001/2014).",VALOR REF. AO PAGO DO CONVÊNIO Nº 001/2014. OBS: CONF. SOLICITAÇÃO DO OFICIO N° 0024/2016 EMPRESA: EMAM EMULSÕES E TRANSPORTES.COMPLEMENTO DA LIQ. N° 24/2016.
27 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA,27101 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA - SEMINFRA,29/01/2016,81,14,EMPRESA MUNICIPAL DE OBRAS E URBANIZAÇÃO - EMURB,13.118.245/0001-60,"R$ 65.225,23","R$ 0,00","R$ 0,00","1025 - Construção/Recuperação de Ruas, Pontes, Viadutos, Avenidas e Praças",15 - Urbanismo,451 - Infraestrutura Urbana,0135 - GESTÃO URBANA,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903918 - Manutenção e Conservação de Estradas e Vias,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 4856,Autorização de Débito,40,,,"VALOR REFERE-SE: EXECUÇÃO DE DRENAGEM, PAVIMENTAÇÃO ASFÁLTICA E TAPA BURACO EM DIVERSAS ARTÉRIAS DE ARACAJU (CONVÊNIO N° 001/2014).",VALOR REF. AO PAGO DO CONVÊNIO Nº 001/2014. OBS: CONF. SOLICITAÇÃO DO OFICIO N° 0028/2016 EMPRESA: PETROBRAS.
27 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA,27101 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA - SEMINFRA,29/01/2016,81,15,EMPRESA MUNICIPAL DE OBRAS E URBANIZAÇÃO - EMURB,13.118.245/0001-60,"R$ 65.955,27","R$ 0,00","R$ 0,00","1025 - Construção/Recuperação de Ruas, Pontes, Viadutos, Avenidas e Praças",15 - Urbanismo,451 - Infraestrutura Urbana,0135 - GESTÃO URBANA,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903918 - Manutenção e Conservação de Estradas e Vias,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 4856,Autorização de Débito,40,,,"VALOR REFERE-SE: EXECUÇÃO DE DRENAGEM, PAVIMENTAÇÃO ASFÁLTICA E TAPA BURACO EM DIVERSAS ARTÉRIAS DE ARACAJU (CONVÊNIO N° 001/2014).",VALOR REF. AO PAGO DO CONVÊNIO Nº 001/2014. OBS: CONF. SOLICITAÇÃO DO OFICIO N° 0097/2016 EMPRESA: PETROBRAS.
27 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA,27101 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA - SEMINFRA,29/01/2016,81,16,EMPRESA MUNICIPAL DE OBRAS E URBANIZAÇÃO - EMURB,13.118.245/0001-60,"R$ 17.664,92","R$ 0,00","R$ 0,00","1025 - Construção/Recuperação de Ruas, Pontes, Viadutos, Avenidas e Praças",15 - Urbanismo,451 - Infraestrutura Urbana,0135 - GESTÃO URBANA,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903918 - Manutenção e Conservação de Estradas e Vias,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 4856,Autorização de Débito,40,,,"VALOR REFERE-SE: EXECUÇÃO DE DRENAGEM, PAVIMENTAÇÃO ASFÁLTICA E TAPA BURACO EM DIVERSAS ARTÉRIAS DE ARACAJU (CONVÊNIO N° 001/2014).",VALOR REF. AO PAGO DO CONVÊNIO Nº 001/2014. OBS: CONF. SOLICITAÇÃO DO OFICIO N° 0098/2016 EMPRESA: REDE DE POSTOS PRESIDENTE.
27 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA,27101 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA - SEMINFRA,29/01/2016,81,17,EMPRESA MUNICIPAL DE OBRAS E URBANIZAÇÃO - EMURB,13.118.245/0001-60,"R$ 4.990,80","R$ 0,00","R$ 0,00","1025 - Construção/Recuperação de Ruas, Pontes, Viadutos, Avenidas e Praças",15 - Urbanismo,451 - Infraestrutura Urbana,0135 - GESTÃO URBANA,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903918 - Manutenção e Conservação de Estradas e Vias,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 4856,Autorização de Débito,40,,,"VALOR REFERE-SE: EXECUÇÃO DE DRENAGEM, PAVIMENTAÇÃO ASFÁLTICA E TAPA BURACO EM DIVERSAS ARTÉRIAS DE ARACAJU (CONVÊNIO N° 001/2014).",VALOR REF. AO PAGO DO CONVÊNIO Nº 001/2014. OBS: CONF. SOLICITAÇÃO DO OFICIO N° 0155/2016 EMPRESA: O AMIGÃO AUTO PEÇAS.
27 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA,27101 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA - SEMINFRA,29/01/2016,81,18,EMPRESA MUNICIPAL DE OBRAS E URBANIZAÇÃO - EMURB,13.118.245/0001-60,"R$ 302.751,30","R$ 0,00","R$ 0,00","1025 - Construção/Recuperação de Ruas, Pontes, Viadutos, Avenidas e Praças",15 - Urbanismo,451 - Infraestrutura Urbana,0135 - GESTÃO URBANA,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903918 - Manutenção e Conservação de Estradas e Vias,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 4856,Autorização de Débito,40,,,"VALOR REFERE-SE: EXECUÇÃO DE DRENAGEM, PAVIMENTAÇÃO ASFÁLTICA E TAPA BURACO EM DIVERSAS ARTÉRIAS DE ARACAJU (CONVÊNIO N° 001/2014).",VALOR REF. AO PAGO DO CONVÊNIO Nº 001/2014. OBS: CONF. SOLICITAÇÃO DO OFICIO N° 286/2016.
27 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA,27101 - SECRETARIA MUNICIPAL DA INFRAESTRUTURA - SEMINFRA,29/01/2016,80,12,EMPRESA MUNICIPAL DE OBRAS E URBANIZAÇÃO - EMURB,13.118.245/0001-60,"R$ 6.000,00","R$ 0,00","R$ 0,00","1025 - Construção/Recuperação de Ruas, Pontes, Viadutos, Avenidas e Praças",15 - Urbanismo,451 - Infraestrutura Urbana,0135 - GESTÃO URBANA,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903918 - Manutenção e Conservação de Estradas e Vias,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 4856,Autorização de Débito,40,,,"VALOR REFERE-SE: EXECUÇÃO DE DRENAGEM, PAVIMENTAÇÃO ASFÁLTICA E TAPA BURACO EM DIVERSAS ARTÉRIAS DE ARACAJU. (CONVÊNIO Nº 001/2014).",VALOR REF. AO PAGO DO CONVÊNIO Nº 001/2014. OBS: CONF. SOLICITAÇÃO DO OFICIO N° 0024/2016 EMPRESA: EMAM EMULSÕES E TRANSPORTES.
13 - SECRETARIA MUNICIPAL DA FAZENDA,13101 - SECRETARIA MUNICIPAL DA FAZENDA,28/01/2016,78,15,DELEGACIA DA RECEITA FEDERAL DO BRASIL EM ARACAJU,00.394.460/0092-89,"R$ 13.304,25","R$ 0,00","R$ 0,00",2040 - Manutenção e Coordenação Geral - SEMFAZ,04 - Administração,122 - Administração Geral,0012 - APOIO ÀS POLITICAS PÚBLICAS MUNICIPAIS,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33904700 - Obrigações Tributárias e Contributivas,33904712 - Contribuicao Para O Pis ou Pasep,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 001 / Ag: 3611 / CC: 624314,Autorização de Débito,43,,,VALOR PARA COBRIR DESPESAS COM PASEP NO CORRENTE ANO.,VALOR PARA COBRIR DESPESAS COM PASEP NO MÊS DE JANEIRO/2016.
26 - SECRETARIA MUNICIPAL DA IND. COMÉRCIO E TURISMO.,26301 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS - EMSURB,26/02/2016,190,258,TORRE EMPREENDIMENTO RURAL E CONSTRUCAO LTDA.,34.405.597/0002-57,"R$ 1.027.530,37","R$ 434.459,01","R$ 0,00",2149 - Limpeza Urbana / Gestão de Resíduos Sólidos,18 - Gestão Ambiental,452 - Serviços Urbanos,0140 - GESTÃO AMBIENTAL,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33909200 - Despesas de Exercícios Anteriores,33909239 - Outros Servicos de Terceiros- Pessoa Juridica,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 000027487,Autorização de Débito,327,,,ESTIMATIVA REFERENTE A CONFISSÃO DE DIVIDA DA TORRRE EMPREENDIMENTOS CONTRATO 13.2010,ESTIMATIVA REFERENTE A CONFISSÃO DE DIVIDA DA TORRRE EMPREENDIMENTOS CONTRATO 13.2010
26 - SECRETARIA MUNICIPAL DA IND. COMÉRCIO E TURISMO.,26301 - EMPRESA MUNICIPAL DE SERVIÇOS URBANOS - EMSURB,26/02/2016,189,257,TORRE EMPREENDIMENTO RURAL E CONSTRUCAO LTDA.,34.405.597/0002-57,"R$ 363.453,04","R$ 76.497,19","R$ 0,00",2149 - Limpeza Urbana / Gestão de Resíduos Sólidos,18 - Gestão Ambiental,452 - Serviços Urbanos,0140 - GESTÃO AMBIENTAL,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33909200 - Despesas de Exercícios Anteriores,33909239 - Outros Servicos de Terceiros- Pessoa Juridica,"0120000 - Royalties-Petróleo, Xistos e Gás",Bc: 104 / Ag: 59 / CC: 000027487,Autorização de Débito,326,,,ESTIMATIVA REFERENTE A CONFISSÃO DE DIVIDA TORRE EMPRRENDIMENTOS CONTRATO 43.2012,ESTIMATIVA REFERENTE A CONFISSÃO DE DIVIDA TORRE EMPRRENDIMENTOS CONTRATO 43.2012
