orgao,unidade,data,empenho,processo,credor,cpf_cnpj,pago,retido,anulacao,acao,funcao,subfuncao,programa,categoria_economica,natureza_despesa,modalidade_aplicacao,elemento,subelemento,fonte_de_recurso,conta_banco,tipo,no_doc,data_atesto,responsavel_atesto,historico_empenho,historico_pagamento
26000 - PREFEITURA MUNICIPAL DE BARRA DOS COQUEIROS,26049 - SECRETARIA MUN DE OBRAS PÚBLICAS,27/10/2020,0903011,1027001,FSS CONSTRUÇÃO E ENERGIA EIRELI - ME,13.525.006/0001-24,"R$ 47.608,61","R$ 4.189,55","R$ 0,00","1034 - CONSTRUÇÃO, RESTAURAÇÃO, DRENAGEM, PAVIMENTAÇÃO E URBANIZAÇÃO DE ÁREAS",15 - Urbanismo,451 - Infraestrutura Urbana,0126 - CONSTRUINDO CIDADANIA,40000000 - DESPESAS DE CAPITAL,44000000 - INVESTIMENTOS,44900000 - APLICAÇÕES DIRETAS,44905100 - Obras e Instalações,44905103 - Obras E/ou Edificações Para Uso Comum do Povo,15300000 - Transferência da União Referente a Royalties do Petróleo,Bc: 001 / Ag: 3611 / CC: 804770,Autorização de Débito,1409,,,"SERVIÇO REMANESCENTE DE MANUTENÇÃO E AMPLIAÇÃO DA PROTEÇÃO MARGINAL ( MOLHE ) DA ATALAIA NOVA, NO MUNICIPIO DE BARRA DOS COQUEIROS-SE","SERVIÇO REMANESCENTE DE MANUTENÇÃO E AMPLIAÇÃO DA PROTEÇÃO MARGINAL ( MOLHE ) DA ATALAIA NOVA, NO MUNICIPIO DE BARRA DOS COQUEIROS-SE REFERENTE 5ª MEDIÇÃO CONF NF 0153"
26000 - PREFEITURA MUNICIPAL DE BARRA DOS COQUEIROS,"26059 - SECRETARIA DA AGRICULTURA, ABASTECIMENTO E PESCA",26/10/2020,0918004,1026026,ENGEB - BOTELHO ENGENHARIA LTDA,32.716.110/0001-40,"R$ 124.504,09","R$ 15.809,01","R$ 0,00","1102 - CONSTRUÇÃO, REFORMA E AMPLIAÇÃO DO MERCADO MUNICIPAL",20 - Agricultura,122 - Administração Geral,0126 - CONSTRUINDO CIDADANIA,40000000 - DESPESAS DE CAPITAL,44000000 - INVESTIMENTOS,44900000 - APLICAÇÕES DIRETAS,44905100 - Obras e Instalações,44905103 - Obras E/ou Edificações Para Uso Comum do Povo,15300000 - Transferência da União Referente a Royalties do Petróleo,Bc: 001 / Ag: 3611 / CC: 804770,Autorização de Débito,1401,,,CORRESPONDENTE AO 1º TERMO ADITIVO PARA A CONTRATAÇÃO DE UMA EMPRESA DE ENGENHARIA COM CAPACIDADE TECNICA E FINANCEIRA PARA CONSTRUIR O MERCADO MUNICIPAL - NO MUNICIPIO DE BARRA DOS COQUEIROS-SE - MUDANÇA DE FONTE RECURSO PARA ATENDER AS DESTE MUNICIPIO DE ACORDO COM O EMPENHO ANTERIOR-0507005,REF A 2ª MEDÇÃO DE CONSTRUÇÃO DE MERCADO MUNICIPAL CONF NF 0018
26000 - PREFEITURA MUNICIPAL DE BARRA DOS COQUEIROS,26049 - SECRETARIA MUN DE OBRAS PÚBLICAS,22/10/2020,0914001,1022001,ESTRE AMBIENTAL S.A,03.147.393/0014-73,"R$ 172.250,14","R$ 0,00","R$ 0,00",2059 - MANUTENÇÃO DE LIMPEZA PÚBLICA,15 - Urbanismo,451 - Infraestrutura Urbana,0126 - CONSTRUINDO CIDADANIA,30000000 - DESPESAS CORRENTES,33000000 - OUTRAS DESPESAS CORRENTES,33900000 - APLICAÇÕES DIRETAS,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,33903961 - Limpeza e Conservação,15300000 - Transferência da União Referente a Royalties do Petróleo,Bc: 001 / Ag: 3611 / CC: 804770,Autorização de Débito,1393,,,"Referente a alteração de fonte de recursos como previsto em contrato - Correspondente ao 1º termo aditivo para a Contratação de prestação de serviços de Disposição Final, em Aterro Sanitário de propriedade da CONTRATADA, para um aporte médio mensal estimado de 1.700 (hum mil e setecentas) toneladas de Resíduos Classe II-A e II-B, sendo em dias úteis, proveniente do Município de Barra dos Coqueiros/SE.",REF. DEPOSITO DE RESIDUOS SOLIDOS CONF NF 0587
26000 - PREFEITURA MUNICIPAL DE BARRA DOS COQUEIROS,26049 - SECRETARIA MUN DE OBRAS PÚBLICAS,16/10/2020,0903011,1016054,FSS CONSTRUÇÃO E ENERGIA EIRELI - ME,13.525.006/0001-24,"R$ 79.079,76","R$ 6.959,02","R$ 0,00","1034 - CONSTRUÇÃO, RESTAURAÇÃO, DRENAGEM, PAVIMENTAÇÃO E URBANIZAÇÃO DE ÁREAS",15 - Urbanismo,451 - Infraestrutura Urbana,0126 - CONSTRUINDO CIDADANIA,40000000 - DESPESAS DE CAPITAL,44000000 - INVESTIMENTOS,44900000 - APLICAÇÕES DIRETAS,44905100 - Obras e Instalações,44905103 - Obras E/ou Edificações Para Uso Comum do Povo,15300000 - Transferência da União Referente a Royalties do Petróleo,Bc: 001 / Ag: 3611 / CC: 804770,Autorização de Débito,1365,,,"SERVIÇO REMANESCENTE DE MANUTENÇÃO E AMPLIAÇÃO DA PROTEÇÃO MARGINAL ( MOLHE ) DA ATALAIA NOVA, NO MUNICIPIO DE BARRA DOS COQUEIROS-SE","SERVIÇO REMANESCENTE DE MANUTENÇÃO E AMPLIAÇÃO DA PROTEÇÃO MARGINAL ( MOLHE ) DA ATALAIA NOVA, NO MUNICIPIO DE BARRA DOS COQUEIROS-SE REFERENTE 4ª MEDIÇÃO CONF NF 0150"
26000 - PREFEITURA MUNICIPAL DE BARRA DOS COQUEIROS,26049 - SECRETARIA MUN DE OBRAS PÚBLICAS,15/10/2020,0903010,1015002,FSS CONSTRUÇÃO E ENERGIA EIRELI - ME,13.525.006/0001-24,"R$ 21.075,02","R$ 1.854,61","R$ 0,00","1032 - CONSTRUÇÃO, REFORMA E RESTAURAÇÃO DE PRAÇAS, PARQUES E JARDINS",15 - Urbanismo,451 - Infraestrutura Urbana,0126 - CONSTRUINDO CIDADANIA,40000000 - DESPESAS DE CAPITAL,44000000 - INVESTIMENTOS,44900000 - APLICAÇÕES DIRETAS,44905100 - Obras e Instalações,44905108 - Reforma Com Ampliacao da Area Fisica,15300000 - Transferência da União Referente a Royalties do Petróleo,Bc: 001 / Ag: 3611 / CC: 804770,Autorização de Débito,1344,,,CORRESPONDENTE A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DE ENGENHARIA PARA OS SERVIÇOS REMANESCENTES DA CONSTRUÇÃO DA PRAÇA DR IREMAR MECENAS LOCALIZADA NO LARGO SANTA LUZIA NESTE MUNICIPIO,CORRESPONDENTE A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DE ENGENHARIA PARA OS SERVIÇOS REMANESCENTES DA CONSTRUÇÃO DA PRAÇA DR IREMAR MECENAS LOCALIZADA NO LARGO SANTA LUZIA NESTE MUNICIPIO REFERENTE A 3ª MEDIÇÃO CONF NF 0146
26000 - PREFEITURA MUNICIPAL DE BARRA DOS COQUEIROS,26049 - SECRETARIA MUN DE OBRAS PÚBLICAS,09/10/2020,1005013,1009019,JS CARVALHO SERVICOS E LOCACAO EIRELI,18.674.609/0001-01,"R$ 70.259,19","R$ 0,00","R$ 0,00","1032 - CONSTRUÇÃO, REFORMA E RESTAURAÇÃO DE PRAÇAS, PARQUES E JARDINS",15 - Urbanismo,451 - Infraestrutura Urbana,0126 - CONSTRUINDO CIDADANIA,40000000 - DESPESAS DE CAPITAL,44000000 - INVESTIMENTOS,44900000 - APLICAÇÕES DIRETAS,44905100 - Obras e Instalações,44905103 - Obras E/ou Edificações Para Uso Comum do Povo,15300000 - Transferência da União Referente a Royalties do Petróleo,Bc: 001 / Ag: 3611 / CC: 804770,Autorização de Débito,LOTE1308,,,"REFORMA E AMPLIAÇÃO DAS PRAÇAS DO ROMILDO, DO MARIVAN, DA QUADRA DO ANDORINHA ;CAPACIDADE TÉCNICA E FINANCEIRA PARA EXECUTAR AS REFORMAS E AMPLIAÇÕES DAS PRAÇAS Nº 01, 02 E 03 DO LOTEAMENTO RIO MAR, NO MUNICIPIO DE BARRA DOS COQUEIROS -SE - ALTERAÇÃO DE FONTE DE RECURSO DO EMPENHO ANTERIOR 0507003","REFERENTE AOS SERVIÇOS CONF NF 0105 - 3ª MEDIÇÃO - COMPLEMENTO REFORMA E AMPLIAÇÃO DAS PRAÇAS DO ROMILDO, DO MARIVAN, DA QUADRA DO ANDORINHA ;CAPACIDADE TÉCNICA E FINANCEIRA PARA EXECUTAR AS REFORMAS E AMPLIAÇÕES DAS PRAÇAS Nº 01, 02 E 03 DO LOTEAMENTO RIO MAR, NO MUNICIPIO DE BARRA DOS COQUEIROS -SE - ALTERAÇÃO DE FONTE DE RECURSO DO EMPENHO ANTERIOR 0507003 - PAGAMENTO NESTA DATA"
26000 - PREFEITURA MUNICIPAL DE BARRA DOS COQUEIROS,26049 - SECRETARIA MUN DE OBRAS PÚBLICAS,09/10/2020,1005012,1009002,JP'FORT ENGENHARIA E CONSULTORIA LTDA,13.014.144/0001-49,"R$ 22.226,97","R$ 2.924,24","R$ 0,00","1034 - CONSTRUÇÃO, RESTAURAÇÃO, DRENAGEM, PAVIMENTAÇÃO E URBANIZAÇÃO DE ÁREAS",15 - Urbanismo,451 - Infraestrutura Urbana,0126 - CONSTRUINDO CIDADANIA,40000000 - DESPESAS DE CAPITAL,44000000 - INVESTIMENTOS,44900000 - APLICAÇÕES DIRETAS,44905100 - Obras e Instalações,44905103 - Obras E/ou Edificações Para Uso Comum do Povo,15300000 - Transferência da União Referente a Royalties do Petróleo,Bc: 001 / Ag: 3611 / CC: 804770,Autorização de Débito,1306,,,"EXECUÇÃO DE SERVIÇOS DE TERRAPLENAGEM, PAVIMENTAÇÃO E DRENAGEM PLUVIAL DO ACESSO AO POVOADO OLHOS D'AGUA NO MUNICIPIO DE BARRA DOS COQUEIROS /SE - ALTERAÇÃO DE FONTE DE RECURSO DE ACORDO COM O EMPENHO ANTERIOR 0417001","EXECUÇÃO DE SERVIÇOS DE TERRAPLENAGEM, PAVIMENTAÇÃO E DRENAGEM PLUVIAL DO ACESSO AO POVOADO OLHOS D'AGUA NO MUNICIPIO DE BARRA DOS COQUEIROS /SE - ALTERAÇÃO DE FONTE DE RECURSO DE ACORDO COM O EMPENHO ANTERIOR 0417001 REFERENTE A 4ª MEDICAÇÃO CONF NF 0051 - PARTE"
26000 - PREFEITURA MUNICIPAL DE BARRA DOS COQUEIROS,26049 - SECRETARIA MUN DE OBRAS PÚBLICAS,09/10/2020,0917001,1009001,JP'FORT ENGENHARIA E CONSULTORIA LTDA,13.014.144/0001-49,"R$ 95,45","R$ 0,00","R$ 0,00","1034 - CONSTRUÇÃO, RESTAURAÇÃO, DRENAGEM, PAVIMENTAÇÃO E URBANIZAÇÃO DE ÁREAS",15 - Urbanismo,451 - Infraestrutura Urbana,0126 - CONSTRUINDO CIDADANIA,40000000 - DESPESAS DE CAPITAL,44000000 - INVESTIMENTOS,44900000 - APLICAÇÕES DIRETAS,44905100 - Obras e Instalações,44905103 - Obras E/ou Edificações Para Uso Comum do Povo,15300000 - Transferência da União Referente a Royalties do Petróleo,Bc: 001 / Ag: 3611 / CC: 804770,Autorização de Débito,1306,,,"CORRESPONDENTE AO 2º TERMO ADITIVO PARA A EXECUÇÃO DE SERVIÇOS DE TERRAPLENAGEM, PAVIMENTAÇÃO E DRENAGEM PLUVIAL DO ACESSO AO POVOADO OLHOS D'AGUA NO MUNICIPIO DE BARRA DOS COQUEIROS /SE","CORRESPONDENTE AO 2º TERMO ADITIVO PARA A EXECUÇÃO DE SERVIÇOS DE TERRAPLENAGEM, PAVIMENTAÇÃO E DRENAGEM PLUVIAL DO ACESSO AO POVOADO OLHOS D'AGUA NO MUNICIPIO DE BARRA DOS COQUEIROS /SE REFERENTE A 4ª MEDICAÇÃO CONF NF 0051 - COMPLEMENTO"
26000 - PREFEITURA MUNICIPAL DE BARRA DOS COQUEIROS,26049 - SECRETARIA MUN DE OBRAS PÚBLICAS,09/10/2020,0903011,1009006,FSS CONSTRUÇÃO E ENERGIA EIRELI - ME,13.525.006/0001-24,"R$ 75.699,29","R$ 6.661,54","R$ 0,00","1034 - CONSTRUÇÃO, RESTAURAÇÃO, DRENAGEM, PAVIMENTAÇÃO E URBANIZAÇÃO DE ÁREAS",15 - Urbanismo,451 - Infraestrutura Urbana,0126 - CONSTRUINDO CIDADANIA,40000000 - DESPESAS DE CAPITAL,44000000 - INVESTIMENTOS,44900000 - APLICAÇÕES DIRETAS,44905100 - Obras e Instalações,44905103 - Obras E/ou Edificações Para Uso Comum do Povo,15300000 - Transferência da União Referente a Royalties do Petróleo,Bc: 001 / Ag: 3611 / CC: 804770,Autorização de Débito,1310,,,"SERVIÇO REMANESCENTE DE MANUTENÇÃO E AMPLIAÇÃO DA PROTEÇÃO MARGINAL ( MOLHE ) DA ATALAIA NOVA, NO MUNICIPIO DE BARRA DOS COQUEIROS-SE","SERVIÇO REMANESCENTE DE MANUTENÇÃO E AMPLIAÇÃO DA PROTEÇÃO MARGINAL ( MOLHE ) DA ATALAIA NOVA, NO MUNICIPIO DE BARRA DOS COQUEIROS-SE REFERENTE 2ª MEDIÇÃO CONF NF 0144"
26000 - PREFEITURA MUNICIPAL DE BARRA DOS COQUEIROS,26049 - SECRETARIA MUN DE OBRAS PÚBLICAS,09/10/2020,0903010,1009005,FSS CONSTRUÇÃO E ENERGIA EIRELI - ME,13.525.006/0001-24,"R$ 32.736,44","R$ 2.880,80","R$ 0,00","1032 - CONSTRUÇÃO, REFORMA E RESTAURAÇÃO DE PRAÇAS, PARQUES E JARDINS",15 - Urbanismo,451 - Infraestrutura Urbana,0126 - CONSTRUINDO CIDADANIA,40000000 - DESPESAS DE CAPITAL,44000000 - INVESTIMENTOS,44900000 - APLICAÇÕES DIRETAS,44905100 - Obras e Instalações,44905108 - Reforma Com Ampliacao da Area Fisica,15300000 - Transferência da União Referente a Royalties do Petróleo,Bc: 001 / Ag: 3611 / CC: 804770,Autorização de Débito,1310,,,CORRESPONDENTE A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DE ENGENHARIA PARA OS SERVIÇOS REMANESCENTES DA CONSTRUÇÃO DA PRAÇA DR IREMAR MECENAS LOCALIZADA NO LARGO SANTA LUZIA NESTE MUNICIPIO,CORRESPONDENTE A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DE ENGENHARIA PARA OS SERVIÇOS REMANESCENTES DA CONSTRUÇÃO DA PRAÇA DR IREMAR MECENAS LOCALIZADA NO LARGO SANTA LUZIA NESTE MUNICIPIO REFERENTE A 2ª MEDIÇÃO CONF NF 0145
